hillnumber, hillname, region, parent, classification, metres, feet, gridref, gridref10, colgridref, colheight, drop, feature, observations, survey, revision, comments, map50, map25, xcoord, ycoord, latitude, longitude, country, climbed, tumponly,Ma,Ma=,Hu,Hu=,Tu,Sim,M,MT,F,C,G,D,DT,DN,Hew,N,5,5D,5H,4,3,2,1,0,sMa,sHu,sSim,s5,s5D,s5H,s4,W,WO,B,Sy,Fel,CoH,CoU,CoA,CoL,SIB,xMT,xC,xG,xN,xDT,Mur,CT,GT,BL,Bg,T100,P600,P500,O,Un
209,"Buachaille Etive Beag - Stob Coire Raineach","03B",,"Ma,M,Sim","925","3035","NN191548","NN 19139 54791","NN187544","748","177","cairn","","obvious summit","2012-08-15","","41","384","219135","754800","56.649929","-4.951685","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
232,"Ben Cruachan","03C",,"Ma,M,Sim,CoU, CoA","1127","3698","NN069304","NN 06966 30464","NN190413","247","880","rock 3m from trig point","trig point destroyed","Leica RX1250","2014-11-11","summit measured as 1127.0m","50","377W","206962","730472","56.426839","-5.131828","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
233,"Meall a'Bhuiridh","03C",,"Ma,M,Sim","1108","3635","NN250503","NN 25069 50337","NN313472","313","795","cairn","","obvious summit","2001-10-28","","41","384","225066","750346","56.612218","-4.852078","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
235,"Creise","03C",,"Ma,M,Sim","1099.8","3608","NN238506","NN 23858 50636","NN 2434 5007","930.4","169.4","small rock 3m from cairn","","Leica Disto/Leica RX1250","2014-07-28","","41","384","223855","750645","56.614449","-4.871979","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
237,"Stob Ghabhar","03C",,"Ma,M,Sim","1090","3576","NN230455","NN 23021 45506","NN229485","697","393","cairn","","","2001-10-28","","50","377E 384","223017","745515","56.568103","-4.882099","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
238,"Ben Starav","03C",,"Ma,M,Sim","1078","3537","NN125427","NN 12577 42707","NN187459","632","446","cairn","trig point destroyed","","2001-10-28","","50","377W","212573","742716","56.538939","-5.049798","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
241,"Stob Coir' an Albannaich","03C",,"Ma,M,Sim","1044","3425","NN169443","NN 16956 44296","NN163433","738","306","flat-topped cairn","","","2001-10-28","","50","377W","216952","744305","56.554921","-4.97981","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
244,"Stob Daimh [Stob Diamh]","03C",232,"Hu,M,Sim","999.2","3278","NN094308","NN 09486 30850","NN 0894 3071","864.7","134.5","rock 6m NE of large cairn","cairn is over 1m high and may hide higher rock","Abney level/Leica RX1250","2016-05-17","","50","377W","209482","730858","56.431327","-5.091319","S","",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
245,"Glas Bheinn Mhor","03C",,"Ma,M,Sim","997","3271","NN153429","NN 15333 42975","NN138424","766","231","cairn","","","2001-10-28","","50","377W","215329","742984","56.542434","-5.005236","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
249,"Beinn Eunaich","03C",,"Ma,M,Sim","989","3245","NN135327","NN 13566 32789","NN104319","564","425","cairn","","","2012-08-15","","50","377W","213562","732797","56.450352","-5.026639","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
251,"Beinn a'Chochuill","03C",,"Ma,M,Sim","980","3215","NN109328","NN 10982 32841","NN127327","728","252","cairn on rock slab","","","2012-08-15","","50","377W","210978","732849","56.449790","-5.068536","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
254,"Beinn nan Aighenan","03C",,"Ma,M,Sim","960","3150","NN148405","NN 14856 40520","NN143415","617","343","cairn","","","2012-08-15","","50","377W","214852","740528","56.520221","-5.011233","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
255,"Stob a'Choire Odhair","03C",,"Ma,M,Sim","945","3100","NN257459","NN 25735 45973","NN243457","668","277","cairn","","obvious summit","2012-08-15","","50","377E 384","225731","745982","56.573308","-4.838302","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
258,"Meall nan Eun","03C",,"Ma,M,Sim","928","3045","NN192449","NN 19254 44894","NN174446","754","174","cairn","cairn is c 40m SE of spot height on 25K OS map","","2001-10-28","","50","377E","219250","744903","56.561177","-4.942893","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
278,"Ben Nevis","04A",,"Ma,M,Sim,CoH, CoU,CoA,SIB","1344.5","4411","NN166712","NN 16679 71274","Sea","","1344.5","trig point on plinth","man-made structure supporting emergency structure is higher","Ordnance Survey","2016-03-31","","41","392","216675","771283","56.796849","-5.003525","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
279,"Aonach Beag","04A",,"Ma,M,Sim","1234","4049","NN197715","NN 19710 71493","NN186722","830","404","cairn","","","2012-08-15","","41","392","219707","771502","56.799998","-4.954121","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
281,"Aonach Mor","04A",279,"Hu,M,Sim","1221","4006","NN193729","NN 19307 72952","NN193719","1087","134","large cairn","","","2009-11-20","","41","392","219304","772961","56.812932","-4.961744","S","",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
282,"Carn Mor Dearg","04A",,"Ma,M,Sim","1220","4003","NN177721","NN 17752 72163","NN175713","1058","162","cairn","","","2012-08-15","","41","392","217748","772172","56.805246","-4.986616","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
285,"Stob Choire Claurigh","04A",,"Ma,M,Sim","1177","3862","NN261738","NN 26199 73869","NN211705","731","446","cairn/shelter","","obvious summit","2001-10-28","","41","392","226196","773878","56.823786","-4.849624","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
287,"Binnein Mor","04A",,"Ma,M,Sim","1130","3707","NN212663","NN 21222 66341","NN239693","371","759","cairn","","","2001-10-28","","41","392","221219","766350","56.754358","-4.925795","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
289,"Stob Coire an Laoigh","04A",285,"M,Sim","1116","3661","NN239725","NN 23987 72523","NN254734","1042","74","circular stone wind shelter","","obvious summit","2001-10-28","","41","392","223984","772532","56.810877","-4.884891","S","",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
290,"Stob Coire Easain","04A",,"Ma,M,Sim","1115","3658","NN308730","NN 30805 73056","NN280751","504","611","cairn","","","2012-08-15","","41","392","230802","773065","56.81819","-4.77371","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
292,"Stob a'Choire Mheadhoin","04A",290,"Hu,M,Sim,sMa","1105","3625","NN316736","NN 31654 73635","NN312732","965","140","cairn","","","2001-10-28","","41","392","231651","773644","56.823693","-4.7602","S","",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
295,"Sgurr a'Mhaim","04A",,"Ma,M,Sim","1099","3606","NN164667","NN 16469 66721","NN193656","783","316","cairn","","","2012-08-15","","41","392","216465","766730","56.75592","-5.00369","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
296,"Sgurr Choinnich Mor","04A",,"Ma,M,Sim","1094","3589","NN227714","NN 22775 71410","NN232721","935","159","cairn","","obvious summit","2012-08-15","","41","392","222772","771419","56.800431","-4.903943","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
301,"Na Gruagaichean","04A",287,"M,Sim,sHu","1054.2","3459","NN203652","NN 20310 65191","NN 20741 65407","957.4","96.8","cairn","","Leica RX1250","2014-09-07","","41","392","220307","765200","56.743687","-4.939875","S","",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
303,"Am Bodach","04A",,"Ma,M,Sim","1031.8","3385","NN176650","NN 17641 65088","NN 16907 65222","879","152.8","cairn","","Leica RX1250","2014-09-07","col height measured as 879.0m","41","392","217637","765097","56.741727","-4.983393","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
305,"Sgurr Eilde Mor","04A",,"Ma,M,Sim","1010","3314","NN230657","NN 23056 65780","NN224656","739","271","cairn","","","2012-08-15","","41","392","223053","765789","56.750024","-4.895453","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
309,"Stob Ban","04A",,"Ma,M,Sim","999","3278","NN147654","NN 14780 65433","NN156653","767","232","large cairn","","","2012-08-15","","41","392","214776","765442","56.743697","-5.030343","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
312,"An Gearanach","04A",,"Ma,M,Sim","981.4","3220","NN187669","NN 18775 66980","NN 17821 65476","830","151.4","cairn","","Leica RX1250","2014-09-07","Twinned with hill 313 Stob Coire a'Chairn. Col height measured as 830.0m","41","392","218772","766989","56.759143","-4.966203","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
313,"Stob Coire a'Chairn","04A",312,"Ma=,Hu,M,Sim","981.4","3220","NN185660","NN 18563 66053","NN18674 66320","856.7","124.7","cairn","","Leica RX1250","2014-09-07","twinned with 312 An Gearanach after survey in August 2014","41","392","218559","766062","56.750744","-4.969025","S","",0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
314,"Stob Ban","04A",,"Ma,M,Sim","977","3205","NN266723","NN 26672 72385","NN264729","803","174","cairn","","obvious summit","2012-08-15","","41","392","226669","772394","56.810647","-4.840876","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
320,"Binnein Beag","04A",,"Ma,M,Sim","943","3094","NN221677","NN 22182 67708","NN217673","746","197","windshelter by cairn","","","2012-08-15","","41","392","222179","767717","56.76699","-4.911065","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
321,"Mullach nan Coirean","04A",309,"M,Sim,sHu","939","3081","NN122662","NN 12241 66234","NN142658","846","93","large cairn","","","2001-10-28","","41","392","212237","766243","56.749867","-5.072381","S","",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
345,"Ben Alder","04B",,"Ma,M,Sim","1148","3766","NN496718","NN 49619 71846","NN262668","365","783","trig point","cairn 15m E at NN 49633 71847 may be as high","","2001-10-28","","42","OL50 385E 393","249616","771855","56.813796","-4.465089","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
346,"Geal-charn","04B",,"Ma,M,Sim","1132","3714","NN469746","NN 46993 74620","NN480732","722","410","large cairn","","","2012-08-15","","42","OL50 393","246990","774629","56.837836","-4.509727","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
347,"Aonach Beag","04B",346,"M,Sim,sHu","1115.7","3660","NN457741","NN 45789 74181","NN 4623 7423","1017","99","cairn","","Leica RX1250","2013-09-07","","42","OL50 393","245786","774190","56.833496","-4.529181","S","",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
348,"Beinn Eibhinn","04B",346,"Hu,M,Sim","1103.2","3619","NN449733","NN 44968 73293","NN455737","976","127","boulder 170m E of large cairn","large cairn on W top (1102.4m) is 0.80m lower","Leica RX1250","2012-12-10","Alternative summit at NN448733 was measured to be 1102.4m","42","OL50 393","244965","773302","56.825254","-4.542082","S","",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
349,"Beinn a'Chlachair","04B",,"Ma,M,Sim","1087","3566","NN471781","NN 47125 78146","NN477771","548","539","cairn","","obvious summit","2012-08-15","","42","OL50 393","247122","778155","56.869525","-4.509684","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
350,"Geal Charn","04B",,"Ma,M,Sim","1049","3442","NN504811","NN 50434 81172","NN489800","739","310","large cairn next to trig point","","obvious summit","2001-10-28","","42","OL50 393","250432","781181","56.897763","-4.457236","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
351,"Chno Dearg","04B",,"Ma,M,Sim","1046","3432","NN377741","NN 37744 74106","NN369661","402","644","large cairn","","obvious summit","2014-06-27","","41","OL50 393","237741","774115","56.830086","-4.660831","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
352,"Carn Dearg","04B",,"Ma,M,Sim","1034","3392","NN504764","NN 50418 76435","NN490759","876","158","cairn","","","2001-10-28","","42","OL50 393","250416","776444","56.855241","-4.454709","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
354,"Beinn Bheoil","04B",,"Ma,M,Sim","1019","3343","NN517717","NN 51719 71713","NN506702","833","186","cairn","rock 10m SW of cairn may be higher than cairn base","","2012-08-15","","42","OL50 385E 393","251717","771722","56.813276","-4.430646","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
356,"Stob Coire Sgriodain","04B",351,"M,Sim,sHu","979","3212","NN356743","NN 35672 74371","NN367734","889","90","cairn","","obvious summit","2001-10-28","","41","OL50 393","235669","774380","56.831736","-4.694917","S","",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
361,"Sgor Gaibhre","04B",,"Ma,M,Sim","955","3133","NN444674","NN 44480 67438","NN465717","655","300","cairn","","","2012-08-15","","42","385E 385W","244477","767447","56.772544","-4.546498","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
363,"Carn Dearg","04B",,"Ma,M,Sim","941","3087","NN417661","NN 41776 66134","NN432669","723","218","tall cairn","small cairn 10m NE may be higher","","2009-11-20","","42","385W","241773","766143","56.759931","-4.589888","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
364,"Beinn na Lap","04B",,"Ma,M,Sim","935","3068","NN376695","NN 37619 69576","NN361699","529","406","cairn","","obvious summit","2001-10-28","","41","OL50 385W 393","237616","769585","56.789390","-4.659994","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
367,"Creag Pitridh","04B",350,"Hu,M,Sim","924","3031","NN487814","NN 48754 81450","NN488811","819","105","cairn","","obvious summit","2009-11-20","","34 42","OL50 OL55 393 401","248752","781459","56.899713","-4.484955","S","",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
383,"Beinn Udlamain","05A",,"Ma,M,Sim","1011","3317","NN579739","NN 57951 73969","NN630759","455","556","ground on W edge of large windshelter","ground 130m N is 0.5m lower, boulder 5m SW is lower","Abney level","2001-10-28","","42","OL50 393","257949","773978","56.835472","-4.329913","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
384,"Sgairneach Mhor","05A",,"Ma,M,Sim","991","3251","NN598731","NN 59884 73121","NN582727","809","182","trig point in windshelter","cairn is 5m W at NN 59879 73120 and of equal height; ground to 15m in arc NW-W-SW <15cm lower","Abney level","2012-08-15","","42","OL50 393","259882","773130","56.828447","-4.297792","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
386,"A'Mharconaich","05A",383,"Hu,M,Sim","975","3199","NN604762","NN 60425 76283","NN591752","861","114","small cairn and ground to 5m SE","windshelter 95m NE at NN 60485 76354 is 1m lower. Hill 387 500m SW at NN60147 75874 is a few metres lower","Abney level","2009-11-20","","42","OL50 393","260423","776292","56.856993","-4.290668","S","",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
388,"Meall Chuaich","05B",,"Ma,M,Sim","951","3120","NN716878","NN 71651 87825","NN719786","485","466","large cairn","","","2008-06-30","","42","OL51W 394W","271649","787834","56.963851","-4.112552","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
389,"Carn na Caim","05B",,"Ma,M,Sim","940.8","3087","NN677821","NN 67702 82144","NN720868","614","327","cairn","","Leica RX1250","2016-08-26","","42","OL51W 394W","267700","782153","56.911739","-4.174478","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
390,"A'Bhuidheanach Bheag","05B",389,"Hu,M,Sim","936.1","3071","NN660776","NN 66071 77591","NN 6599 7898","827","109.1","ground by trig point","ground 600m WSW at NN 65504 77432 is 0.7m lower","Leica Disto/Leica RX1250","2014-08-07","col height measured to be 827.0m","42","OL51W 394W","266069","777600","56.870399","-4.198839","S","",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
392,"Geal-charn","05A",,"Ma,M,Sim","917.1","3009","NN596782","NN 59646 78252","NN592766","739","178","rock 5m E of windshelter","cairn on E top at NN 59772 78288 is 0.6m lower","Leica NA730/Leica 530","2012-08-15","","42","OL50 393","259644","778261","56.874433","-4.304519","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
406,"Beinn Dearg","06A",,"Ma,M,Sim","1008.7","3309","NN852778","NN 85297 77791","NN916873","536","473","pointed boulder 17m N of trig point","trig point in windshelter is at NN 85292 77776","Leica Disto/Leica RX1250","2015-08-22","","43","OL51E 394E","285296","777800","56.877346","-3.883719","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
407,"An Sgarsoch","06A",,"Ma,M,Sim","1006","3301","NN933836","NN 93335 83656","NN857808","687","319","cairn","flat summit area","","2001-10-28","","43","OL51E 394E","293334","783665","56.931928","-3.754367","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
408,"Carn an Fhidhleir [Carn Ealar]","06A",,"Ma,M,Sim","994","3261","NN904841","NN 90470 84175","NN919829","710","284","cairn","ground 15m N may be as high","","2007-03-10","","43","OL51E 394E","290469","784184","56.935919","-3.801645","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
409,"Carn a'Chlamain","06A",,"Ma,M,Sim","963.5","3161","NN915758","NN 91592 75798","NN888802","646","317","cairn","","obvious summit/Leica RX1250","2015-01-30","","43","OL51E 394E","291591","775807","56.860968","-3.779629","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
421,"Beinn a'Ghlo - Carn nan Gabhar","06B",,"Ma,M,Sim","1121.9","3681","NN971733","NN 97120 73306","NN990726","464","658","rock at base of large cairn","trig point 140m SW at NN 97047 73188 is probably lower","Leica RX1250","2015-08-22","","43","OL51E 394E","297119","773315","56.839846","-3.688006","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
